Year,State,FAH,FAFH,Total nominal food sales,FAH,FAFH,Total constant dollar food sales
2002,Alaska,993.91,822.02,"1,815.93",659.96,561.54,"1,221.50"
2003,Alaska,873.2,876.62,"1,749.81",567.53,586.34,"1,153.87"
2004,Alaska,"1,052.68",953.45,"2,006.13",659.2,619.36,"1,278.56"
2005,Alaska,"1,108.85","1,014.16","2,123.02",681.2,638.7,"1,319.91"
2006,Alaska,"1,182.91","1,069.21","2,252.13",714.28,653.11,"1,367.39"
2007,Alaska,"1,295.63","1,119.10","2,414.73",750.68,659.57,"1,410.25"
2008,Alaska,"1,524.89","1,154.94","2,679.82",830.36,651.95,"1,482.32"
2009,Alaska,"1,514.14","1,106.63","2,620.77",820.68,603.69,"1,424.38"
2010,Alaska,"1,592.64","1,170.92","2,763.56",860.38,630.74,"1,491.12"
2011,Alaska,"1,691.86","1,258.60","2,950.46",872.1,662.48,"1,534.58"
2012,Alaska,"1,907.79","1,364.58","3,272.37",959.76,698.39,"1,658.15"
2013,Alaska,"1,825.11","1,401.90","3,227.01",909.95,702.48,"1,612.43"
2014,Alaska,"1,784.56","1,536.95","3,321.51",868.97,751.87,"1,620.84"
2015,Alaska,"1,707.37","1,645.99","3,353.35",821.79,782.82,"1,604.61"
2016,Alaska,"1,638.03","1,667.82","3,305.85",798.92,773.29,"1,572.22"
2017,Alaska,"1,603.36","1,758.09","3,361.45",783.57,796.56,"1,580.13"
2018,Alaska,"1,615.05","1,903.24","3,518.30",785.76,840.23,"1,625.99"
2019,Alaska,"1,674.86","2,069.34","3,744.20",807.73,886.21,"1,693.93"
2020,Alaska,"1,781.75","1,715.64","3,497.39",830.24,710.9,"1,541.14"
1997,Arizona,"5,849.12","4,586.97","10,436.09","4,313.77","3,558.56","7,872.33"
1998,Arizona,"5,893.18","5,059.68","10,952.86","4,265.33","3,825.38","8,090.71"
1999,Arizona,"6,043.33","5,404.68","11,448.01","4,291.42","3,987.22","8,278.64"
2000,Arizona,"6,023.49","5,922.94","11,946.42","4,183.08","4,268.72","8,451.80"
2001,Arizona,"6,014.71","6,094.41","12,109.12","4,044.49","4,268.54","8,313.03"
2002,Arizona,"6,194.93","6,453.88","12,648.81","4,113.49","4,408.76","8,522.26"
2003,Arizona,"6,419.11","6,933.47","13,352.58","4,172.07","4,637.54","8,809.61"
2004,Arizona,"6,798.16","7,613.16","14,411.32","4,257.07","4,945.51","9,202.57"
2005,Arizona,"7,602.26","8,186.06","15,788.32","4,670.30","5,155.44","9,825.74"
2006,Arizona,"7,902.76","8,766.87","16,669.63","4,771.94","5,355.09","10,127.03"
2007,Arizona,"8,739.63","9,360.21","18,099.84","5,063.69","5,516.69","10,580.38"
2008,Arizona,"10,299.53","9,529.98","19,829.51","5,608.52","5,379.60","10,988.13"
2009,Arizona,"11,328.00","9,484.18","20,812.19","6,139.93","5,173.84","11,313.77"
2010,Arizona,"12,290.15","9,824.36","22,114.52","6,639.45","5,292.05","11,931.50"
2011,Arizona,"13,718.73","10,695.34","24,414.07","7,071.60","5,629.59","12,701.19"
2012,Arizona,"15,209.50","11,377.26","26,586.76","7,651.54","5,822.82","13,474.36"
2013,Arizona,"15,357.06","12,486.71","27,843.77","7,656.56","6,257.02","13,913.58"
2014,Arizona,"15,747.32","13,795.29","29,542.61","7,667.95","6,748.57","14,416.53"
2015,Arizona,"15,927.39","15,263.14","31,190.54","7,666.19","7,259.05","14,925.24"
2016,Arizona,"16,153.03","17,824.59","33,977.61","7,878.37","8,264.47","16,142.84"
2017,Arizona,"16,131.86","19,424.13","35,555.99","7,883.74","8,800.71","16,684.45"
2018,Arizona,"17,012.29","20,389.52","37,401.81","8,276.83","9,001.47","17,278.30"
2019,Arizona,"17,640.79","21,305.25","38,946.04","8,507.56","9,124.08","17,631.64"
2020,Arizona,"18,934.99","17,210.16","36,145.15","8,823.05","7,131.28","15,954.34"
1997,Arkansas,"3,114.99","1,914.07","5,029.05","2,297.33","1,484.93","3,782.25"
1998,Arkansas,"3,300.70","2,006.74","5,307.44","2,388.96","1,517.20","3,906.16"
1999,Arkansas,"3,424.29","2,125.91","5,550.20","2,431.62","1,568.36","3,999.98"
2000,Arkansas,"3,626.44","2,302.10","5,928.53","2,518.42","1,659.15","4,177.56"
2001,Arkansas,"3,902.54","2,483.47","6,386.01","2,624.20","1,739.43","4,363.63"
2002,Arkansas,"3,857.12","2,584.45","6,441.57","2,561.17","1,765.49","4,326.65"
2003,Arkansas,"4,142.87","2,725.77","6,868.64","2,692.63","1,823.17","4,515.80"
2004,Arkansas,"4,501.12","2,941.88","7,443.00","2,818.64","1,911.04","4,729.68"
2005,Arkansas,"5,091.29","3,146.70","8,237.99","3,127.74","1,981.74","5,109.47"
2006,Arkansas,"5,199.95","3,339.95","8,539.90","3,139.90","2,040.15","5,180.05"
2007,Arkansas,"5,091.22","3,540.20","8,631.42","2,949.82","2,086.51","5,036.33"
2008,Arkansas,"5,124.02","3,703.56","8,827.58","2,790.24","2,090.63","4,880.88"
2009,Arkansas,"4,674.99","3,600.03","8,275.02","2,533.90","1,963.90","4,497.80"
2010,Arkansas,"4,843.81","3,726.19","8,570.00","2,616.75","2,007.17","4,623.92"
2011,Arkansas,"5,095.46","3,959.61","9,055.08","2,626.56","2,084.18","4,710.74"
2012,Arkansas,"5,532.70","4,234.61","9,767.31","2,783.37","2,167.25","4,950.62"
2013,Arkansas,"5,519.56","4,540.50","10,060.05","2,751.88","2,275.22","5,027.10"
2014,Arkansas,"5,664.35","4,999.62","10,663.96","2,758.18","2,445.78","5,203.96"
2015,Arkansas,"5,703.35","5,389.98","11,093.32","2,745.14","2,563.44","5,308.58"
2016,Arkansas,"5,516.51","5,644.30","11,160.82","2,690.59","2,617.01","5,307.60"
2017,Arkansas,"5,745.80","5,954.54","11,700.34","2,808.01","2,697.89","5,505.90"
2018,Arkansas,"6,131.93","6,322.20","12,454.14","2,983.31","2,791.10","5,774.41"
2019,Arkansas,"5,802.51","6,371.30","12,173.81","2,798.36","2,728.54","5,526.90"
2020,Arkansas,"6,216.20","5,499.36","11,715.56","2,896.54","2,278.74","5,175.28"
1997,California,"42,730.98","34,117.19","76,848.17","31,514.44","26,467.98","57,982.42"
1998,California,"43,728.85","36,153.78","79,882.63","31,649.81","27,334.14","58,983.95"
1999,California,"45,850.80","38,002.32","83,853.13","32,559.09","28,035.63","60,594.73"
2000,California,"47,496.68","41,160.66","88,657.34","32,984.59","29,664.91","62,649.50"
2001,California,"50,202.82","43,118.78","93,321.61","33,758.07","30,200.50","63,958.57"
2002,California,"53,673.18","46,227.08","99,900.27","35,639.48","31,578.57","67,218.05"
2003,California,"54,505.32","49,047.72","103,553.03","35,425.42","32,806.21","68,231.63"
2004,California,"55,886.92","53,176.91","109,063.83","34,996.86","34,543.72","69,540.58"
2005,California,"58,598.97","56,468.67","115,067.64","35,999.16","35,563.00","71,562.16"
2006,California,"60,905.16","60,743.46","121,648.62","36,776.50","37,104.08","73,880.58"
2007,California,"64,239.36","63,108.14","127,347.50","37,219.86","37,194.47","74,414.33"
2008,California,"67,673.16","64,576.73","132,249.88","36,850.86","36,453.09","73,303.94"
2009,California,"66,079.09","64,097.70","130,176.79","35,815.72","34,966.77","70,782.49"
2010,California,"66,874.35","65,562.66","132,437.00","36,127.20","35,316.40","71,443.59"
2011,California,"72,385.85","70,084.94","142,470.78","37,312.79","36,889.84","74,202.63"
2012,California,"73,999.02","73,293.83","147,292.84","37,227.15","37,511.40","74,738.55"
2013,California,"78,238.02","78,758.80","156,996.83","39,007.11","39,465.59","78,472.70"
2014,California,"84,185.05","85,053.14","169,238.19","40,992.82","41,607.48","82,600.30"
2015,California,"86,767.08","95,228.44","181,995.52","41,762.81","45,290.04","87,052.84"
2016,California,"89,851.88","103,004.49","192,856.38","43,823.77","47,758.61","91,582.38"
2017,California,"95,612.17","111,591.56","207,203.73","46,726.29","50,560.04","97,286.33"
2018,California,"99,445.94","114,159.78","213,605.72","48,382.49","50,398.75","98,781.24"
2019,California,"103,297.22","119,806.66","223,103.88","49,816.80","51,307.80","101,124.60"
2020,California,"111,322.45","105,495.31","216,817.75","51,872.44","43,713.53","95,585.97"
1997,Colorado,"6,783.02","4,719.40","11,502.42","5,002.53","3,661.29","8,663.82"
1998,Colorado,"6,929.82","5,059.61","11,989.43","5,015.63","3,825.33","8,840.96"
1999,Colorado,"7,501.24","5,419.25","12,920.49","5,326.70","3,997.97","9,324.67"
2000,Colorado,"7,792.66","5,865.25","13,657.91","5,411.70","4,227.14","9,638.84"
2001,Colorado,"8,223.53","6,276.50","14,500.03","5,529.78","4,396.08","9,925.85"
2002,Colorado,"8,550.86","6,679.13","15,229.98","5,677.85","4,562.64","10,240.48"
2003,Colorado,"8,939.24","6,942.61","15,881.85","5,810.01","4,643.66","10,453.67"
2004,Colorado,"8,826.20","7,538.22","16,364.42","5,527.04","4,896.83","10,423.87"
2005,Colorado,"9,541.23","7,988.78","17,530.01","5,861.47","5,031.20","10,892.67"
2006,Colorado,"9,685.09","8,530.32","18,215.41","5,848.17","5,210.60","11,058.77"
2007,Colorado,"10,215.61","9,039.23","19,254.84","5,918.85","5,327.51","11,246.37"
2008,Colorado,"11,063.82","9,259.86","20,323.68","6,024.71","5,227.12","11,251.83"
2009,Colorado,"11,243.98","9,295.14","20,539.12","6,094.38","5,070.71","11,165.09"
2010,Colorado,"11,912.42","9,737.63","21,650.05","6,435.39","5,245.33","11,680.72"
2011,Colorado,"12,688.88","10,550.45","23,239.33","6,540.75","5,553.33","12,094.07"
2012,Colorado,"14,159.24","11,321.87","25,481.11","7,123.18","5,794.47","12,917.65"
2013,Colorado,"14,532.21","12,299.13","26,831.34","7,245.32","6,163.03","13,408.34"
2014,Colorado,"15,652.64","13,585.14","29,237.77","7,621.85","6,645.77","14,267.62"
2015,Colorado,"15,824.29","15,377.45","31,201.75","7,616.56","7,313.42","14,929.98"
2016,Colorado,"16,325.16","16,928.42","33,253.58","7,962.33","7,848.96","15,811.29"
2017,Colorado,"16,820.10","18,347.03","35,167.13","8,220.09","8,312.70","16,532.79"
2018,Colorado,"17,384.87","19,852.10","37,236.96","8,458.09","8,764.21","17,222.31"
2019,Colorado,"17,645.23","20,652.71","38,297.94","8,509.70","8,844.63","17,354.33"
2020,Colorado,"19,205.52","17,356.52","36,562.04","8,949.11","7,191.93","16,141.04"
1997,Connecticut,"5,755.31","3,574.38","9,329.69","4,244.59","2,772.99","7,017.58"
1998,Connecticut,"5,843.04","3,733.25","9,576.28","4,229.04","2,822.53","7,051.57"
1999,Connecticut,"5,162.97","3,811.66","8,974.64","3,666.28","2,812.00","6,478.27"
2000,Connecticut,"5,475.83","4,064.20","9,540.03","3,802.75","2,929.11","6,731.86"
2001,Connecticut,"5,690.69","4,204.22","9,894.91","3,826.61","2,944.65","6,771.26"
2002,Connecticut,"5,783.99","4,481.02","10,265.01","3,840.62","3,061.07","6,901.69"
2003,Connecticut,"6,242.26","4,784.94","11,027.20","4,057.12","3,200.47","7,257.59"
2004,Connecticut,"6,605.48","5,494.04","12,099.52","4,136.41","3,568.93","7,705.33"
2005,Connecticut,"7,068.48","5,833.30","12,901.78","4,342.39","3,673.71","8,016.10"
2006,Connecticut,"7,413.51","6,160.34","13,573.86","4,476.52","3,762.94","8,239.46"
2007,Connecticut,"7,887.61","6,493.42","14,381.04","4,570.03","3,827.07","8,397.10"
2008,Connecticut,"8,294.90","6,214.30","14,509.20","4,516.92","3,507.93","8,024.85"
2009,Connecticut,"8,487.44","5,962.69","14,450.13","4,600.30","3,252.78","7,853.08"
2010,Connecticut,"8,426.37","6,021.54","14,447.91","4,552.13","3,243.60","7,795.74"
2011,Connecticut,"8,724.96","6,332.80","15,057.76","4,497.46","3,333.32","7,830.79"
2012,Connecticut,"9,011.26","6,737.48","15,748.75","4,533.35","3,448.21","7,981.56"
2013,Connecticut,"9,393.26","7,123.69","16,516.96","4,683.20","3,569.64","8,252.84"
2014,Connecticut,"9,614.49","7,525.77","17,140.26","4,681.65","3,681.56","8,363.21"
2015,Connecticut,"9,707.44","8,161.99","17,869.43","4,672.40","3,881.79","8,554.18"
2016,Connecticut,"9,823.15","8,911.75","18,734.90","4,791.08","4,131.98","8,923.06"
2017,Connecticut,"10,071.26","9,717.56","19,788.82","4,921.89","4,402.84","9,324.74"
2018,Connecticut,"9,977.62","10,179.25","20,156.88","4,854.32","4,493.89","9,348.21"
2019,Connecticut,"10,291.22","10,708.77","20,999.99","4,963.11","4,586.08","9,549.20"
2020,Connecticut,"11,053.86","9,456.55","20,510.42","5,150.72","3,918.46","9,069.18"
1997,Delaware,"1,117.26",853.42,"1,970.68",823.99,662.08,"1,486.07"
1998,Delaware,"1,104.61",933.65,"2,038.26",799.48,705.89,"1,505.37"
1999,Delaware,"1,230.28",979.29,"2,209.57",873.63,722.45,"1,596.09"
2000,Delaware,"1,311.05","1,065.59","2,376.65",910.48,767.98,"1,678.46"
2001,Delaware,"1,427.01","1,124.23","2,551.24",959.57,787.41,"1,746.98"
2002,Delaware,"1,442.57","1,157.03","2,599.60",957.88,790.39,"1,748.27"
2003,Delaware,"1,466.97","1,209.78","2,676.75",953.45,809.18,"1,762.63"
2004,Delaware,"1,620.49","1,314.25","2,934.73","1,014.76",853.74,"1,868.50"
2005,Delaware,"1,655.43","1,398.42","3,053.85","1,016.98",880.7,"1,897.69"
2006,Delaware,"1,734.07","1,461.07","3,195.14","1,047.09",892.47,"1,939.55"
2007,Delaware,"1,865.41","1,518.33","3,383.74","1,080.81",894.87,"1,975.67"
2008,Delaware,"1,933.80","1,567.07","3,500.88","1,053.04",884.6,"1,937.64"
2009,Delaware,"1,814.49","1,524.84","3,339.33",983.48,831.84,"1,815.31"
2010,Delaware,"1,848.16","1,569.95","3,418.11",998.42,845.68,"1,844.10"
2011,Delaware,"1,928.82","1,670.92","3,599.74",994.25,879.5,"1,873.75"
2012,Delaware,"2,001.94","1,769.29","3,771.23","1,007.13",905.52,"1,912.64"
2013,Delaware,"1,977.25","1,849.44","3,826.69",985.8,926.75,"1,912.54"
2014,Delaware,"2,003.90","2,018.21","4,022.11",975.77,987.29,"1,963.07"
2015,Delaware,"2,012.44","2,149.05","4,161.50",968.63,"1,022.08","1,990.71"
2016,Delaware,"2,201.95","2,254.63","4,456.58","1,073.96","1,045.37","2,119.34"
2017,Delaware,"2,132.52","2,400.17","4,532.70","1,042.18","1,087.47","2,129.65"
2018,Delaware,"2,187.12","2,534.01","4,721.13","1,064.08","1,118.70","2,182.78"
2019,Delaware,"2,215.36","2,443.64","4,659.00","1,068.39","1,046.50","2,114.90"
2020,Delaware,"2,426.28","2,083.19","4,509.47","1,130.56",863.2,"1,993.76"
1997,District of Columbia,712.34,"1,846.23","2,558.57",525.35,"1,432.30","1,957.66"
1998,District of Columbia,700.03,"2,067.15","2,767.18",506.66,"1,562.87","2,069.53"
1999,District of Columbia,688.87,"2,014.08","2,702.95",489.17,"1,485.86","1,975.03"
2000,District of Columbia,673.07,"2,197.89","2,870.96",467.42,"1,584.04","2,051.46"
2001,District of Columbia,684.15,"2,018.00","2,702.15",460.05,"1,413.41","1,873.46"
2002,District of Columbia,708.56,"1,924.59","2,633.14",470.49,"1,314.72","1,785.21"
2003,District of Columbia,579.77,"1,942.63","2,522.39",376.82,"1,299.35","1,676.17"
2004,District of Columbia,677.93,"2,197.98","2,875.91",424.52,"1,427.81","1,852.33"
2005,District of Columbia,783.53,"2,362.09","3,145.62",481.35,"1,487.61","1,968.95"
2006,District of Columbia,841.57,"2,506.80","3,348.37",508.17,"1,531.23","2,039.40"
2007,District of Columbia,920.43,"2,694.10","3,614.53",533.29,"1,587.84","2,121.13"
2008,District of Columbia,967.35,"2,719.13","3,686.49",526.76,"1,534.93","2,061.70"
2009,District of Columbia,998.73,"2,384.20","3,382.94",541.33,"1,300.64","1,841.96"
2010,District of Columbia,863.06,"2,297.58","3,160.64",466.25,"1,237.63","1,703.88"
2011,District of Columbia,898.04,"2,416.15","3,314.19",462.91,"1,271.76","1,734.67"
2012,District of Columbia,842.02,"2,491.90","3,333.92",423.6,"1,275.34","1,698.94"
2013,District of Columbia,815.95,"2,479.48","3,295.43",406.81,"1,242.45","1,649.26"
2014,District of Columbia,919.58,"2,560.72","3,480.30",447.78,"1,252.69","1,700.47"
2015,District of Columbia,864.83,"2,694.07","3,558.89",416.26,"1,281.28","1,697.54"
2016,District of Columbia,834.55,"2,839.21","3,673.76",407.04,"1,316.42","1,723.45"
2017,District of Columbia,814.86,"3,053.27","3,868.13",398.23,"1,383.38","1,781.61"
2018,District of Columbia,826.52,"3,287.67","4,114.19",402.12,"1,451.43","1,853.54"
2019,District of Columbia,863.39,"3,381.51","4,244.90",416.38,"1,448.15","1,864.53"
2020,District of Columbia,942.42,"2,713.00","3,655.42",439.14,"1,124.17","1,563.31"
1997,Florida,"21,446.98","18,455.80","39,902.79","15,817.32","14,317.94","30,135.26"
1998,Florida,"22,449.15","19,502.47","41,951.61","16,248.11","14,744.88","30,992.99"
1999,Florida,"23,618.29","20,684.90","44,303.20","16,771.58","15,259.97","32,031.54"
2000,Florida,"25,834.76","22,501.39","48,336.15","17,941.23","16,216.98","34,158.21"
2001,Florida,"26,813.07","24,123.16","50,936.23","18,030.01","16,895.93","34,925.94"
2002,Florida,"27,582.31","25,902.15","53,484.46","18,314.90","17,694.24","36,009.14"
2003,Florida,"29,840.56","27,385.96","57,226.52","19,394.70","18,317.46","37,712.16"
2004,Florida,"33,124.39","29,468.19","62,592.58","20,742.77","19,142.54","39,885.31"
2005,Florida,"35,686.41","31,564.40","67,250.80","21,923.26","19,878.71","41,801.98"
2006,Florida,"38,339.30","34,392.67","72,731.97","23,150.51","21,008.16","44,158.66"
2007,Florida,"39,387.00","36,438.16","75,825.16","22,820.56","21,475.81","44,296.37"
2008,Florida,"40,205.60","37,274.35","77,479.95","21,893.63","21,041.09","42,934.72"
2009,Florida,"41,650.24","36,458.80","78,109.03","22,574.97","19,889.11","42,464.08"
2010,Florida,"43,016.76","38,244.13","81,260.89","23,238.73","20,600.83","43,839.55"
2011,Florida,"44,330.75","40,860.43","85,191.18","22,851.21","21,507.25","44,358.46"
2012,Florida,"46,900.54","44,078.63","90,979.17","23,594.55","22,559.21","46,153.76"
2013,Florida,"48,943.53","47,608.85","96,552.38","24,401.76","23,856.53","48,258.29"
2014,Florida,"50,031.11","53,188.36","103,219.46","24,362.00","26,019.42","50,381.42"
2015,Florida,"50,546.08","59,382.54","109,928.63","24,328.89","28,241.96","52,570.84"
2016,Florida,"50,585.26","62,264.37","112,849.63","24,672.12","28,869.22","53,541.34"
2017,Florida,"52,719.36","66,560.32","119,279.69","25,764.29","30,157.23","55,921.52"
2018,Florida,"53,527.57","71,284.92","124,812.48","26,042.26","31,470.55","57,512.81"
2019,Florida,"55,358.16","76,079.86","131,438.02","26,697.39","32,581.58","59,278.97"
2020,Florida,"57,082.86","62,430.68","119,513.55","26,598.66","25,869.07","52,467.73"
1997,Georgia,"9,878.49","8,215.75","18,094.25","7,285.47","6,373.75","13,659.22"
1998,Georgia,"9,983.69","8,789.62","18,773.31","7,225.94","6,645.41","13,871.35"
1999,Georgia,"10,741.33","9,483.86","20,225.19","7,627.52","6,996.58","14,624.10"
2000,Georgia,"11,733.30","10,557.21","22,290.51","8,148.32","7,608.69","15,757.01"
2001,Georgia,"12,262.57","11,331.82","23,594.39","8,245.76","7,936.84","16,182.60"
2002,Georgia,"12,211.56","12,038.19","24,249.74","8,108.58","8,223.51","16,332.09"
2003,Georgia,"12,563.76","12,629.47","25,193.23","8,165.75","8,447.39","16,613.13"
2004,Georgia,"14,346.00","13,389.89","27,735.89","8,983.59","8,698.07","17,681.66"
2005,Georgia,"15,900.08","14,266.60","30,166.69","9,767.91","8,984.86","18,752.77"
2006,Georgia,"16,897.51","15,245.92","32,143.43","10,203.26","9,312.71","19,515.96"
2007,Georgia,"17,914.58","16,055.60","33,970.18","10,379.59","9,462.80","19,842.39"
2008,Georgia,"18,610.29","16,432.02","35,042.30","10,134.08","9,275.75","19,409.83"
2009,Georgia,"18,774.34","16,119.26","34,893.61","10,175.94","8,793.43","18,969.37"
2010,Georgia,"19,786.16","16,719.13","36,505.30","10,688.98","9,006.03","19,695.01"
2011,Georgia,"20,657.99","17,610.04","38,268.04","10,648.59","9,269.21","19,917.80"
2012,Georgia,"22,188.15","18,723.17","40,911.33","11,162.33","9,582.42","20,744.76"
2013,Georgia,"21,901.86","19,761.83","41,663.70","10,919.60","9,902.54","20,822.15"
2014,Georgia,"22,283.15","21,866.64","44,149.79","10,850.49","10,697.03","21,547.52"
2015,Georgia,"22,058.86","24,006.65","46,065.51","10,617.39","11,417.41","22,034.80"
2016,Georgia,"22,250.83","25,094.33","47,345.16","10,852.47","11,635.13","22,487.60"
2017,Georgia,"23,031.05","27,022.96","50,054.01","11,255.42","12,243.59","23,499.02"
2018,Georgia,"24,436.84","29,245.09","53,681.93","11,889.03","12,910.99","24,800.02"
2019,Georgia,"25,241.28","30,541.28","55,782.55","12,173.03","13,079.45","25,252.48"
2020,Georgia,"27,399.89","26,537.02","53,936.91","12,767.41","10,996.00","23,763.41"
1997,Hawaii,"1,488.00","2,263.30","3,751.30","1,097.41","1,755.86","2,853.27"
1998,Hawaii,"1,522.08","2,258.50","3,780.58","1,101.64","1,707.55","2,809.19"
1999,Hawaii,"1,663.65","2,309.78","3,973.43","1,181.37","1,704.01","2,885.38"
2000,Hawaii,"1,715.08","2,500.21","4,215.29","1,191.06","1,801.92","2,992.98"
2001,Hawaii,"1,747.68","2,577.49","4,325.17","1,175.20","1,805.28","2,980.48"
2002,Hawaii,"1,792.39","2,596.20","4,388.59","1,190.16","1,773.51","2,963.68"
2003,Hawaii,"1,819.86","2,742.30","4,562.16","1,182.81","1,834.22","3,017.03"
2004,Hawaii,"1,898.69","2,899.27","4,797.96","1,188.97","1,883.37","3,072.34"
2005,Hawaii,"1,989.61","2,971.36","4,960.98","1,222.28","1,871.31","3,093.60"
2006,Hawaii,"2,020.85","3,135.77","5,156.62","1,220.25","1,915.43","3,135.68"
2007,Hawaii,"2,115.52","3,256.16","5,371.68","1,225.72","1,919.10","3,144.82"
2008,Hawaii,"2,232.69","3,362.59","5,595.28","1,215.79","1,898.16","3,113.95"
2009,Hawaii,"2,097.64","3,229.07","5,326.71","1,136.95","1,761.53","2,898.48"
2010,Hawaii,"2,228.21","3,297.96","5,526.17","1,203.74","1,776.50","2,980.23"
2011,Hawaii,"2,289.88","3,554.59","5,844.47","1,180.37","1,870.99","3,051.36"
2012,Hawaii,"2,459.67","3,755.84","6,215.51","1,237.40","1,922.22","3,159.62"
2013,Hawaii,"2,581.21","3,825.75","6,406.96","1,286.91","1,917.06","3,203.97"
2014,Hawaii,"2,642.33","3,973.80","6,616.13","1,286.65","1,943.96","3,230.61"
2015,Hawaii,"2,714.16","4,341.84","7,056.00","1,306.38","2,064.95","3,371.33"
2016,Hawaii,"2,806.23","4,702.98","7,509.21","1,368.69","2,180.56","3,549.26"
2017,Hawaii,"2,991.67","4,935.63","7,927.31","1,462.05","2,236.24","3,698.29"
2018,Hawaii,"3,033.71","5,219.11","8,252.82","1,475.96","2,304.11","3,780.07"
2019,Hawaii,"3,127.98","5,465.54","8,593.53","1,508.52","2,340.65","3,849.17"
2020,Hawaii,"3,297.23","4,391.38","7,688.61","1,536.40","1,819.63","3,356.03"
1997,Idaho,"1,838.30","1,011.98","2,850.28","1,355.76",785.09,"2,140.85"
1998,Idaho,"1,869.99","1,091.87","2,961.86","1,353.45",825.51,"2,178.96"
1999,Idaho,"1,897.43","1,188.24","3,085.67","1,347.39",876.6,"2,223.99"
2000,Idaho,"1,889.17","1,293.71","3,182.88","1,311.95",932.39,"2,244.34"
2001,Idaho,"1,924.23","1,346.81","3,271.03","1,293.91",943.31,"2,237.22"
2002,Idaho,"1,960.91","1,394.28","3,355.19","1,302.06",952.46,"2,254.52"
2003,Idaho,"2,135.70","1,465.80","3,601.50","1,388.08",980.42,"2,368.50"
2004,Idaho,"2,414.64","1,595.74","4,010.38","1,512.07","1,036.59","2,548.66"
2005,Idaho,"2,628.50","1,706.47","4,334.97","1,614.77","1,074.71","2,689.48"
2006,Idaho,"2,810.79","1,799.78","4,610.56","1,697.24","1,099.36","2,796.61"
2007,Idaho,"3,108.50","1,954.04","5,062.54","1,801.04","1,151.66","2,952.71"
2008,Idaho,"3,246.44","1,964.89","5,211.33","1,767.82","1,109.17","2,876.99"
2009,Idaho,"3,255.45","1,923.66","5,179.11","1,764.49","1,049.40","2,813.90"
2010,Idaho,"3,235.06","1,949.86","5,184.92","1,747.66","1,050.32","2,797.99"
2011,Idaho,"3,364.24","2,076.27","5,440.50","1,734.17","1,092.86","2,827.03"
2012,Idaho,"3,679.40","2,172.85","5,852.25","1,851.02","1,112.05","2,963.07"
2013,Idaho,"3,584.84","2,336.45","5,921.28","1,787.29","1,170.78","2,958.07"
2014,Idaho,"3,637.11","2,566.41","6,203.52","1,771.04","1,255.47","3,026.51"
